IDGEO,ID_ENT,ID_MUN,ID_LOC,ID_AGEB,Entity,Municipality,Type,Long,Lat,Pob_MUN
0900200010985,09,002,0001,0985,Ciudad de México,Azcapotzalco,Urbana,-99.20244235926894,19.49668790162848,432 205
0900200011004,09,002,0001,1004,Ciudad de México,Azcapotzalco,Urbana,-99.20437013453424,19.49202434879827,432 205
0900200011019,09,002,0001,1019,Ciudad de México,Azcapotzalco,Urbana,-99.1993631725661,19.481458338120948,432 205
0900200011095,09,002,0001,1095,Ciudad de México,Azcapotzalco,Urbana,-99.20757298993914,19.483224361453622,432 205
0900200010970,09,002,0001,0970,Ciudad de México,Azcapotzalco,Urbana,-99.20468537193597,19.49844649713831,432 205
090020001099A,09,002,0001,099A,Ciudad de México,Azcapotzalco,Urbana,-99.20545753876686,19.494484450305368,432 205
0900200011131,09,002,0001,1131,Ciudad de México,Azcapotzalco,Urbana,-99.16664675923072,19.473104459209488,432 205
0900200011146,09,002,0001,1146,Ciudad de México,Azcapotzalco,Urbana,-99.16680211730848,19.47184845587713,432 205
0900200010877,09,002,0001,0877,Ciudad de México,Azcapotzalco,Urbana,-99.16235747097518,19.492722924086188,432 205
0900200010881,09,002,0001,0881,Ciudad de México,Azcapotzalco,Urbana,-99.16053269524576,19.483708607841397,432 205
0900200010928,09,002,0001,0928,Ciudad de México,Azcapotzalco,Urbana,-99.197704172489,19.504258537323494,432 205
0900200010913,09,002,0001,0913,Ciudad de México,Azcapotzalco,Urbana,-99.19421197112342,19.510790119973247,432 205
0900200011112,09,002,0001,1112,Ciudad de México,Azcapotzalco,Urbana,-99.1953107446039,19.50864657442562,432 205
0900300011783,09,003,0001,1783,Ciudad de México,Coyoacán,Urbana,-99.17517805762115,19.304677681521,614 447
0900300010357,09,003,0001,0357,Ciudad de México,Coyoacán,Urbana,-99.11596318064336,19.340237602127672,614 447
0900300010361,09,003,0001,0361,Ciudad de México,Coyoacán,Urbana,-99.18708509006623,19.340266142518544,614 447
0900300010728,09,003,0001,0728,Ciudad de México,Coyoacán,Urbana,-99.13324897550412,19.325352792976624,614 447
090030001054A,09,003,0001,054A,Ciudad de México,Coyoacán,Urbana,-99.18280306238955,19.336165964037814,614 447
0900300010111,09,003,0001,0111,Ciudad de México,Coyoacán,Urbana,-99.17669585628998,19.348690402154475,614 447
0900300011092,09,003,0001,1092,Ciudad de México,Coyoacán,Urbana,-99.1050296196897,19.30344571281976,614 447
0900300010906,09,003,0001,0906,Ciudad de México,Coyoacán,Urbana,-99.12079260726776,19.318941260421877,614 447
0900300011425,09,003,0001,1425,Ciudad de México,Coyoacán,Urbana,-99.1412913549662,19.303701659201455,614 447
0900300011444,09,003,0001,1444,Ciudad de México,Coyoacán,Urbana,-99.12055143134616,19.30468967377023,614 447
0900300010770,09,003,0001,0770,Ciudad de México,Coyoacán,Urbana,-99.18503427536182,19.32150767784604,614 447
0900300010018,09,003,0001,0018,Ciudad de México,Coyoacán,Urbana,-99.17084223474102,19.35431256756045,614 447
0900300011105,09,003,0001,1105,Ciudad de México,Coyoacán,Urbana,-99.19479293304612,19.30661898018568,614 447
0900300011618,09,003,0001,1618,Ciudad de México,Coyoacán,Urbana,-99.17032035334142,19.304448205971237,614 447
0900300011073,09,003,0001,1073,Ciudad de México,Coyoacán,Urbana,-99.1156907930145,19.3036826055794,614 447
0900300010037,09,003,0001,0037,Ciudad de México,Coyoacán,Urbana,-99.16168878741932,19.35456867345013,614 447
0900300011660,09,003,0001,1660,Ciudad de México,Coyoacán,Urbana,-99.16107900620402,19.303054287027432,614 447
0900300011694,09,003,0001,1694,Ciudad de México,Coyoacán,Urbana,-99.12580438936368,19.306220104316186,614 447
0900300011730,09,003,0001,1730,Ciudad de México,Coyoacán,Urbana,-99.13315202372068,19.314891800877515,614 447
090030001175A,09,003,0001,175A,Ciudad de México,Coyoacán,Urbana,-99.12117361190565,19.32207882331429,614 447
0900300011764,09,003,0001,1764,Ciudad de México,Coyoacán,Urbana,-99.10659183439232,19.325767071127263,614 447
0900300011779,09,003,0001,1779,Ciudad de México,Coyoacán,Urbana,-99.105935203206,19.323111617181567,614 447
0900300011798,09,003,0001,1798,Ciudad de México,Coyoacán,Urbana,-99.17272560827068,19.303513685903148,614 447
0900300010060,09,003,0001,0060,Ciudad de México,Coyoacán,Urbana,-99.1478480699302,19.35359472312282,614 447
0900300011139,09,003,0001,1139,Ciudad de México,Coyoacán,Urbana,-99.14079811835312,19.33666751880794,614 447
0900300010022,09,003,0001,0022,Ciudad de México,Coyoacán,Urbana,-99.1652569148892,19.35541830586736,614 447
0900300010041,09,003,0001,0041,Ciudad de México,Coyoacán,Urbana,-99.15566091412362,19.355812067948,614 447
090030001008A,09,003,0001,008A,Ciudad de México,Coyoacán,Urbana,-99.1328918828464,19.352531826803723,614 447
0900300010075,09,003,0001,0075,Ciudad de México,Coyoacán,Urbana,-99.14037928419503,19.35140012483869,614 447
0900300010713,09,003,0001,0713,Ciudad de México,Coyoacán,Urbana,-99.1323605226632,19.329671365165037,614 447
0900300011124,09,003,0001,1124,Ciudad de México,Coyoacán,Urbana,-99.14967033917708,19.30308640317783,614 447
0900300010094,09,003,0001,0094,Ciudad de México,Coyoacán,Urbana,-99.12990017082213,19.355516082882083,614 447
0900300010107,09,003,0001,0107,Ciudad de México,Coyoacán,Urbana,-99.12459161665356,19.35448738893588,614 447
0900300010130,09,003,0001,0130,Ciudad de México,Coyoacán,Urbana,-99.16511503798276,19.348268483215467,614 447
090030001015A,09,003,0001,015A,Ciudad de México,Coyoacán,Urbana,-99.1543127172562,19.34645355079329,614 447
0900300010179,09,003,0001,0179,Ciudad de México,Coyoacán,Urbana,-99.13496646593042,19.347851993999992,614 447
0900300010234,09,003,0001,0234,Ciudad de México,Coyoacán,Urbana,-99.18254086634798,19.344129961427843,614 447
0900300011228,09,003,0001,1228,Ciudad de México,Coyoacán,Urbana,-99.13113927371003,19.34080573951942,614 447
0900300010412,09,003,0001,0412,Ciudad de México,Coyoacán,Urbana,-99.17863856634229,19.33797236810438,614 447
0900300011641,09,003,0001,1641,Ciudad de México,Coyoacán,Urbana,-99.16592712846318,19.304778875974048,614 447
090030001168A,09,003,0001,168A,Ciudad de México,Coyoacán,Urbana,-99.12846467624644,19.308371775502955,614 447
0900300011707,09,003,0001,1707,Ciudad de México,Coyoacán,Urbana,-99.12561091333046,19.325940712405885,614 447
0900300011726,09,003,0001,1726,Ciudad de México,Coyoacán,Urbana,-99.13408420624796,19.31697596920355,614 447
0900300011745,09,003,0001,1745,Ciudad de México,Coyoacán,Urbana,-99.12124785761743,19.32627215787156,614 447
0900300011317,09,003,0001,1317,Ciudad de México,Coyoacán,Urbana,-99.11066357357664,19.32687990653332,614 447
0900300011478,09,003,0001,1478,Ciudad de México,Coyoacán,Urbana,-99.10505890638429,19.317445843267112,614 447
0900300011143,09,003,0001,1143,Ciudad de México,Coyoacán,Urbana,-99.13885049446654,19.33622330767304,614 447
0900300011529,09,003,0001,1529,Ciudad de México,Coyoacán,Urbana,-99.18263446847614,19.30529750042331,614 447
0900300011675,09,003,0001,1675,Ciudad de México,Coyoacán,Urbana,-99.1308384899926,19.311546676781752,614 447
0900300010164,09,003,0001,0164,Ciudad de México,Coyoacán,Urbana,-99.1439098428217,19.344484060698456,614 447
0900300010183,09,003,0001,0183,Ciudad de México,Coyoacán,Urbana,-99.1338706259621,19.343655881085656,614 447
0900300010198,09,003,0001,0198,Ciudad de México,Coyoacán,Urbana,-99.13000895532632,19.348056218039627,614 447
0900300010200,09,003,0001,0200,Ciudad de México,Coyoacán,Urbana,-99.1253864222262,19.34619834732455,614 447
0900300010215,09,003,0001,0215,Ciudad de México,Coyoacán,Urbana,-99.12288486427228,19.34856824924428,614 447
090030001022A,09,003,0001,022A,Ciudad de México,Coyoacán,Urbana,-99.11951591862946,19.342401904256526,614 447
